Re,G,V,DP
0.4,18.350004800000004,0.1,5.734376500000001
0.5872,18.509021798365122,0.1468,8.49101375
0.8615999999999999,18.52709006499536,0.2154,12.471047500000001
1.2648,18.53600253004428,0.3162,18.315887500000002
1.8568000000000002,18.558192158552345,0.4642,26.9209775
2.7252,18.534969029795977,0.6813,39.4621075
4.0,18.579904,1.0,58.062200000000004
5.8712,18.663526911023297,1.4678,85.607265
8.6176,18.751448199034538,2.1544,126.24412500000001
12.6492,18.864477121082757,3.1623,186.4223
18.5664,19.14315236125474,4.6416,277.671425
27.251600000000003,19.57573074608463,6.8129,416.773425
40.0,20.3164168,10.0,634.888025
58.712,21.456456737975202,14.678,984.18085
86.1772,23.210645971324205,21.5443,1562.6785
126.4912,25.87820939322261,31.6228,2557.317
185.6636,29.97251717622625,46.4159,4347.50425
272.5168,36.37644358072603,68.1292,7744.68125
400.0,46.462776000000005,100.0,14519.6175
587.1196,62.21890599462188,146.7799,28539.015
